PRECTOT,PS,T2M_MIN,WS10M_MIN,RES
0.0,100.6,12.23,1.38,0
0.0,100.62,12.97,0.89,0
0.68,100.76,15.97,0.28,0
0.0,100.82,11.76,3.26,0
0.0,100.62,11.27,1.88,0
0.0,100.53,11.81,0.44,0
0.0,100.57,11.79,0.27,0
0.0,100.64,12.31,1.84,0
0.0,100.7,11.64,3.14,0
0.0,100.74,9.04,3.07,0
0.0,100.72,8.95,2.86,0
0.01,100.69,13.0,2.63,0
0.0,101.0,9.67,2.83,0
0.0,101.29,9.21,3.53,0
0.0,101.25,10.43,2.06,0
0.0,101.23,11.51,1.97,0
0.0,101.11,11.28,0.15,0
0.0,101.0,11.97,1.16,0
0.0,100.89,12.48,0.57,0
0.0,100.92,11.97,0.62,0
0.0,100.89,12.8,1.36,0
0.0,100.76,13.94,1.52,0
0.0,100.7,14.29,2.32,0
0.0,100.59,15.15,0.42,0
0.0,100.75,12.19,2.76,0
0.0,100.76,11.99,1.76,0
0.0,100.76,14.34,0.95,0
0.0,100.7,15.94,1.69,0
0.0,100.79,14.96,0.92,0
0.0,100.84,15.5,0.74,0
0.0,100.73,13.85,1.57,0
0.0,100.61,13.78,0.72,0
0.0,100.58,12.82,1.63,0
0.0,100.51,13.08,0.35,0
0.0,100.57,14.33,0.65,0
0.0,100.64,15.77,0.32,0
0.0,100.64,17.45,2.3,0
0.0,100.58,17.75,1.29,0
0.27,100.32,19.38,1.16,0
0.06,100.31,14.2,2.7,0
0.0,100.58,10.54,2.19,0
0.0,100.74,8.83,1.7,0
0.0,100.73,8.83,3.28,0
0.0,100.63,9.58,3.43,0
0.0,100.5,10.27,3.47,0
0.0,100.45,10.56,1.72,0
0.0,100.61,14.51,0.32,0
0.0,100.87,10.6,3.87,0
0.0,100.76,9.18,0.81,0
0.0,100.63,10.63,0.25,0
0.0,100.57,13.06,1.04,0
0.0,100.48,15.93,1.25,0
0.0,100.34,17.81,1.06,0
0.0,100.31,15.31,2.12,0
0.0,100.25,14.94,1.13,0
0.0,100.33,17.28,0.4,0
0.0,100.49,18.1,1.54,0
0.0,100.48,17.28,1.68,0
0.0,100.41,18.79,0.88,0
0.0,100.43,16.37,2.31,0
0.0,100.33,17.93,0.8,0
0.0,100.12,19.91,2.9,0
0.0,100.16,19.12,2.77,0
0.0,100.27,19.24,1.94,0
0.0,100.36,19.94,1.73,0
0.0,100.6,18.04,1.75,0
0.0,100.64,17.16,2.8,0
0.0,100.66,18.03,2.64,0
0.0,100.64,18.02,2.91,0
0.0,100.67,18.8,2.29,0
0.0,100.71,19.88,1.64,0
0.0,100.48,22.46,1.11,0
0.0,100.22,19.49,0.6,0
0.0,100.17,20.05,2.12,0
0.0,100.21,19.9,1.23,0
0.0,100.42,22.0,1.27,0
0.0,100.52,22.94,0.8,0
0.0,100.4,23.42,2.12,0
0.0,100.23,24.42,0.6,0
0.0,100.14,22.11,2.04,0
0.0,99.8,20.65,2.33,0
0.0,99.63,18.69,2.32,0
0.0,99.73,18.88,2.2,0
0.0,99.83,21.22,2.67,0
0.0,99.92,20.84,2.26,0
0.0,100.07,19.79,1.9,0
0.0,100.11,20.49,2.07,0
0.0,100.08,20.6,2.74,0
0.0,99.9,20.3,3.05,0
0.0,99.88,20.96,2.92,0
0.0,99.87,22.31,2.07,0
0.0,99.8,23.07,3.36,0
0.0,100.01,20.45,2.35,0
0.0,100.17,20.98,2.16,0
0.0,100.16,20.87,1.19,0
0.0,100.06,22.77,0.86,0
0.0,100.13,24.11,0.35,0
0.0,100.24,27.72,0.47,0
0.0,100.04,26.14,2.91,0
0.0,99.77,21.29,2.75,0
0.0,99.67,23.09,2.45,0
0.0,99.68,22.85,2.71,0
0.0,99.72,24.9,1.03,0
0.0,99.77,27.3,0.61,0
0.0,99.92,25.91,0.8,0
0.0,99.89,25.45,1.24,0
0.0,99.84,24.64,2.0,0
0.0,99.72,24.46,3.05,0
0.0,99.58,25.22,4.8,0
0.0,99.51,24.07,4.93,0
0.0,99.65,25.04,4.78,0
0.0,99.92,24.03,2.48,0
0.0,100.01,23.93,2.89,0
0.0,99.86,22.5,2.64,0
0.0,99.76,24.83,3.09,0
0.0,100.02,24.33,2.09,0
0.0,100.06,27.1,2.58,0
0.0,99.95,26.67,2.24,0
0.0,99.81,27.15,2.74,0
0.16,99.92,26.71,2.41,0
0.0,100.01,25.56,1.14,0
0.0,99.84,27.75,0.16,0
0.01,99.61,27.19,2.21,0
0.0,99.53,26.62,2.55,0
0.0,99.5,26.92,4.38,0
0.0,99.52,26.59,3.82,0
0.0,99.56,27.48,3.36,0
0.0,99.64,28.22,2.86,0
0.0,99.58,28.61,3.19,0
0.0,99.54,26.1,2.95,0
0.0,99.57,26.14,2.07,0
0.0,99.49,27.37,2.48,0
0.0,99.45,27.76,4.15,0
0.0,99.34,25.91,3.54,0
0.0,99.42,26.94,3.77,0
0.0,99.42,27.4,3.57,0
0.0,99.54,28.08,4.16,0
0.0,99.56,25.66,2.72,0
